ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-46314N|refseq:NP_476474|uniprotkb:P97947	DIP-34427N|refseq:NP_004480|uniprotkb:Q13227	 -	-	-	-	MI:0096(pull down)	-	pubmed:17895379|pubmed:DIP-11653S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88247E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46316N|uniprotkb:Q9WV81	DIP-46314N|refseq:NP_476474|uniprotkb:P97947	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:17895379|pubmed:DIP-11653S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88248E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46407N|uniprotkb:Q99996-4	DIP-164N|refseq:NP_112269|uniprotkb:P26769	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:18772391|pubmed:DIP-11712S|pubmed:18772391|pubmed:DIP-11712S|pubmed:18772391|pubmed:DIP-11712S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88398E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-29590N|refseq:NP_446303|uniprotkb:Q8VGC3	DIP-29590N|refseq:NP_446303|uniprotkb:Q8VGC3	-	-	-	-	MI:0029(cosedimentation through density gradient)|MI:0071(molecular sieving)	-	pubmed:18776052|pubmed:DIP-11713S|pubmed:18776052|pubmed:DIP-11713S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88399E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-33255N|refseq:NP_059042|uniprotkb:P54283	DIP-33255N|refseq:NP_059042|uniprotkb:P54283	-	-	-	-	MI:0071(molecular sieving)|MI:0029(cosedimentation through density gradient)	-	pubmed:18776052|pubmed:DIP-11713S|pubmed:18776052|pubmed:DIP-11713S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88400E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-29590N|refseq:NP_446303|uniprotkb:Q8VGC3	DIP-46408N|uniprotkb:P15381-1	 -	-	-	-	MI:0096(pull down)	-	pubmed:18776052|pubmed:DIP-11713S	taxid:10116(Rattus norvegicus)	taxid:9986(Oryctolagus cuniculus)	MI:0915(physical association)	MI:0465(dip)	DIP-88401E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46211N|refseq:NP_082568|uniprotkb:Q8BVQ5	DIP-46210N|refseq:NP_067725.2|uniprotkb:Q9R1U5	 -	-	-	-	MI:0424(protein kinase assay)	-	pubmed:17939993|pubmed:DIP-11567S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88054E	dip-quality-status:core	dip:0004(small scale)		-
DIP-31794N|refseq:NP_001734|uniprotkb:P62158	DIP-46236N|uniprotkb:Q07652	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0071(molecular sieving)	-	pubmed:18940602|pubmed:DIP-11589S|pubmed:18940602|pubmed:DIP-11589S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88135E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-41263N|refseq:NP_058708|uniprotkb:P31424	DIP-36674N|refseq:NP_001039714|uniprotkb:P62157	 -	-	-	-	MI:0096(pull down)	-	pubmed:18715999|pubmed:DIP-11613S	taxid:10116(Rattus norvegicus)	taxid:9913(Bos taurus)	MI:0915(physical association)	MI:0465(dip)	DIP-88179E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40709N|uniprotkb:Q63226	DIP-40709N|uniprotkb:Q63226	-	-	-	-	MI:0028(cosedimentation in solution)|MI:0114(x-ray crystallography)	-	pubmed:19617541|pubmed:DIP-16600S|pubmed:17715062|pubmed:DIP-11762S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88560E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46500N|refseq:NP_112381|uniprotkb:P38656	DIP-46501N|refseq:NP_001009672|uniprotkb:Q5I0H3	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17646655|pubmed:DIP-11782S|pubmed:17646655|pubmed:DIP-11782S|pubmed:17646655|pubmed:DIP-11782S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88594E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-46455N|refseq:XP_001080493	DIP-41833N|uniprotkb:Q62600	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17785417|pubmed:DIP-11746S|pubmed:17785417|pubmed:DIP-11746S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88522E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46497N|refseq:NP_076480|uniprotkb:Q9ET75	DIP-33254N|refseq:NP_072110|uniprotkb:Q62599	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17666527|pubmed:DIP-11780S|pubmed:17666527|pubmed:DIP-11780S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88589E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46498N|uniprotkb:Q99PA1	DIP-46497N|refseq:NP_076480|uniprotkb:Q9ET75	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17666527|pubmed:DIP-11780S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-88590E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46501N|refseq:NP_001009672|uniprotkb:Q5I0H3	DIP-29750N|refseq:NP_003133|uniprotkb:P05455	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17646655|pubmed:DIP-11782S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-88595E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46500N|refseq:NP_112381|uniprotkb:P38656	DIP-46502N|refseq:NP_598278|uniprotkb:P61959	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17646655|pubmed:DIP-11782S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-88597E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46500N|refseq:NP_112381|uniprotkb:P38656	DIP-37054N|refseq:NP_476550|uniprotkb:Q2PQA9	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17646655|pubmed:DIP-11782S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-88596E	dip-quality-status:core	dip:0004(small scale)		-
DIP-268N|refseq:NP_004337|uniprotkb:P42574	DIP-5718N|uniprotkb:Q03351	 -	-	-	-	MI:0435(protease assay)	-	pubmed:17686986|pubmed:DIP-11778S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88587E	dip-quality-status:core	dip:0004(small scale)		-
DIP-35503N|refseq:NP_036795|uniprotkb:P63045	DIP-108N|refseq:NP_446240|uniprotkb:P32851	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:21193638|pubmed:DIP-16021S|pubmed:25581794|pubmed:DIP-17558S|pubmed:21193638|pubmed:DIP-16021S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-89530E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-42209N|refseq:NP_058767|uniprotkb:P15127	DIP-480N|uniprotkb:P06213	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:26027733|pubmed:DIP-17613S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-90319E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48329N|refseq:NP_446108|uniprotkb:P49653	DIP-48329N|refseq:NP_446108|uniprotkb:P49653	-	-	-	-	MI:0071(molecular sieving)|MI:0030(cross-linking study)|MI:0410(electron tomography)	-	pubmed:19217397|pubmed:DIP-12364S|pubmed:19217397|pubmed:DIP-12364S|pubmed:19217397|pubmed:DIP-12364S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-102561E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48395N|refseq:NP_659195|uniprotkb:Q8R4I7	DIP-34031N|uniprotkb:Q00959	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19243221|pubmed:DIP-12411S|pubmed:19243221|pubmed:DIP-12411S|pubmed:19243221|pubmed:DIP-12411S|pubmed:19243221|pubmed:DIP-12411S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-102814E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-33702N|uniprotkb:Q00960	DIP-48395N|refseq:NP_659195|uniprotkb:Q8R4I7	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19243221|pubmed:DIP-12411S|pubmed:19243221|pubmed:DIP-12411S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-102815E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48406N|refseq:XP_001070204	DIP-48406N|refseq:XP_001070204	-	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0055(fluorescent resonance energy transfer)	-	pubmed:19338388|pubmed:DIP-12414S|pubmed:19338388|pubmed:DIP-12414S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-102829E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48411N|refseq:NP_113782|uniprotkb:P51577	DIP-48411N|refseq:NP_113782|uniprotkb:P51577	-	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0872(atomic force microscopy)	-	pubmed:19419241|pubmed:DIP-12420S|pubmed:19419241|pubmed:DIP-12420S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-102838E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48423N|refseq:NP_001012147|uniprotkb:Q66H76	DIP-40985N|uniprotkb:Q62824	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19885391|pubmed:DIP-12434S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-102880E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48424N|refseq:NP_114448	DIP-40985N|uniprotkb:Q62824	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19885391|pubmed:DIP-12434S|pubmed:19885391|pubmed:DIP-12434S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-102881E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-40867N|refseq:NP_071952|uniprotkb:P09217	DIP-40985N|uniprotkb:Q62824	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19885391|pubmed:DIP-12434S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-102882E	dip-quality-status:core	dip:0004(small scale)		-
DIP-674N|refseq:NP_058706|uniprotkb:P35439	DIP-48395N|refseq:NP_659195|uniprotkb:Q8R4I7	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19243221|pubmed:DIP-12411S|pubmed:19243221|pubmed:DIP-12411S|pubmed:19243221|pubmed:DIP-12411S|pubmed:19243221|pubmed:DIP-12411S|pubmed:19243221|pubmed:DIP-12411S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-102917E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-674N|refseq:NP_058706|uniprotkb:P35439	DIP-34031N|uniprotkb:Q00959	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19243221|pubmed:DIP-12411S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-102919E	dip-quality-status:core	dip:0004(small scale)		-
DIP-674N|refseq:NP_058706|uniprotkb:P35439	DIP-30919N|refseq:NP_001356|uniprotkb:P78352	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19243221|pubmed:DIP-12411S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-102920E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48447N|refseq:NP_742020|uniprotkb:Q8K4M9	DIP-48448N|refseq:NP_113819|uniprotkb:Q9Z270	 -	-	-	-	MI:0071(molecular sieving)|MI:0067(light scattering)|MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0067(light scattering)	-	pubmed:16004875|pubmed:DIP-12470S|pubmed:16004875|pubmed:DIP-12470S|pubmed:16004875|pubmed:DIP-12470S|pubmed:16004875|pubmed:DIP-12470S|pubmed:16004875|pubmed:DIP-12470S|pubmed:16004875|pubmed:DIP-12470S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-102940E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48448N|refseq:NP_113819|uniprotkb:Q9Z270	DIP-48448N|refseq:NP_113819|uniprotkb:Q9Z270	-	-	-	-	MI:0067(light scattering)|MI:0071(molecular sieving)	-	pubmed:16004875|pubmed:DIP-12470S|pubmed:16004875|pubmed:DIP-12470S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-102941E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48425N|refseq:XP_220308	DIP-40985N|uniprotkb:Q62824	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19885391|pubmed:DIP-12434S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-102933E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40985N|uniprotkb:Q62824	DIP-35287N|refseq:NP_056053|uniprotkb:Q8IX03	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19885391|pubmed:DIP-12434S|pubmed:19885391|pubmed:DIP-12434S|pubmed:19885391|pubmed:DIP-12434S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-102883E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48601N|refseq:NP_001101555|uniprotkb:D3ZB14	DIP-48600N|refseq:NP_001099788|uniprotkb:D3ZZY5	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18845684|pubmed:DIP-12594S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-103389E	dip-quality-status:core	dip:0004(small scale)		-
DIP-41432N|refseq:NP_439894|uniprotkb:Q9JIR4	DIP-37260N|refseq:NP_113791|uniprotkb:P62260	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:18799741|pubmed:DIP-12586S|pubmed:18799741|pubmed:DIP-12586S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103384E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-36916N|refseq:NP_037143|uniprotkb:P63102	DIP-41432N|refseq:NP_439894|uniprotkb:Q9JIR4	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:18799741|pubmed:DIP-12586S|pubmed:18799741|pubmed:DIP-12586S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103385E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48643N|refseq:NP_446330|uniprotkb:P84087	DIP-29205N|refseq:NP_112253|uniprotkb:P60881	 -	-	-	-	MI:0096(pull down)	-	pubmed:19033464|pubmed:DIP-12620S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-103409E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48643N|refseq:NP_446330|uniprotkb:P84087	DIP-35503N|refseq:NP_036795|uniprotkb:P63045	 -	-	-	-	MI:0096(pull down)	-	pubmed:19033464|pubmed:DIP-12620S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-103410E	dip-quality-status:core	dip:0004(small scale)		-
DIP-33404N|uniprotkb:P70168	DIP-44925N|refseq:NP_075586|uniprotkb:P17955	 -	-	-	-	MI:0872(atomic force microscopy)	-	pubmed:18845677|pubmed:DIP-12592S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103268E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48600N|refseq:NP_001099788|uniprotkb:D3ZZY5	DIP-48602N|uniprotkb:P55215	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18845684|pubmed:DIP-12594S|pubmed:18845684|pubmed:DIP-12594S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103390E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48602N|uniprotkb:P55215	DIP-48601N|refseq:NP_001101555|uniprotkb:D3ZB14	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18845684|pubmed:DIP-12594S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-103391E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48659N|refseq:NP_036954|uniprotkb:P12527	DIP-48660N|refseq:NP_058956|uniprotkb:P20291	 -	-	-	-	MI:0416(fluorescence microscopy)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19075240|pubmed:DIP-12637S|pubmed:19075240|pubmed:DIP-12637S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103437E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48660N|refseq:NP_058956|uniprotkb:P20291	DIP-48660N|refseq:NP_058956|uniprotkb:P20291	-	-	-	-	MI:0030(cross-linking study)	-	pubmed:19075240|pubmed:DIP-12637S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-103438E	dip-quality-status:core	dip:0004(small scale)		-
DIP-231N|uniprotkb:Q07820	DIP-48683N|refseq:NP_446226|uniprotkb:Q9R083	 -	-	-	-	MI:0415(enzymatic study)	-	pubmed:20023629|pubmed:DIP-12660S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0204(deubiquitination reaction)	MI:0465(dip)	DIP-103476E	dip-quality-status:core	dip:0004(small scale)		-
DIP-5968N|refseq:NP_003434|uniprotkb:Q13105	DIP-48689N|refseq:NP_036698|uniprotkb:Q07120	 -	-	-	-	MI:0096(pull down)|MI:0018(two hybrid)	-	pubmed:19164764|pubmed:DIP-12669S|pubmed:19164764|pubmed:DIP-12669S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103492E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48689N|refseq:NP_036698|uniprotkb:Q07120	DIP-48690N|refseq:NP_033567|uniprotkb:Q60821	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19164764|pubmed:DIP-12669S|pubmed:19164764|pubmed:DIP-12669S|pubmed:19164764|pubmed:DIP-12669S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103493E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-30929N|refseq:NP_113796|uniprotkb:P19490	DIP-48721N|refseq:NP_001012079|uniprotkb:Q5FVC2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19208802|pubmed:DIP-12696S|pubmed:19208802|pubmed:DIP-12696S|pubmed:19208802|pubmed:DIP-12696S|pubmed:19208802|pubmed:DIP-12696S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103549E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48901N|refseq:NP_001004099|uniprotkb:P21994	DIP-34793N|refseq:NP_036699|uniprotkb:P08050	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19509333|pubmed:DIP-12809S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-103872E	dip-quality-status:core	dip:0004(small scale)		-
